x,y,z
1.22E+02,9.32E+01,5.60E+01
1.31E+02,1.20E+02,5.59E+01
7.76E+01,8.81E+01,5.57E+01
7.84E+01,1.60E+02,5.74E+01
1.16E+02,7.03E+01,5.54E+01
1.43E+02,5.89E+01,5.59E+01
1.76E+02,8.95E+01,5.19E+01
8.34E+01,1.12E+02,6.02E+01
1.00E+02,9.75E+01,5.68E+01
1.03E+02,1.13E+02,5.69E+01
1.34E+02,1.60E+02,5.82E+01
1.42E+02,1.09E+02,4.95E+01
1.06E+02,1.33E+02,6.03E+01
1.16E+02,5.15E+01,5.63E+01
6.07E+01,1.25E+02,6.14E+01
1.11E+02,1.70E+02,5.48E+01
1.39E+02,6.86E+01,5.70E+01
1.47E+02,7.77E+01,6.01E+01
1.64E+02,1.05E+02,6.18E+01
1.67E+02,1.16E+02,5.92E+01
9.37E+01,7.94E+01,6.16E+01
8.00E+01,4.61E+01,5.55E+01
1.02E+02,7.38E+01,6.04E+01
1.08E+02,6.49E+01,6.13E+01
5.37E+01,9.22E+01,6.15E+01
5.64E+01,1.17E+02,6.27E+01
8.63E+01,1.41E+02,6.14E+01
1.14E+02,2.96E+01,5.93E+01
1.41E+02,3.53E+01,6.14E+01
5.48E+01,7.58E+01,5.92E+01
6.91E+01,1.33E+02,6.35E+01
8.80E+01,1.19E+02,6.26E+01
9.84E+01,5.03E+01,6.40E+01
1.03E+02,4.32E+01,6.14E+01
1.10E+02,9.25E+01,6.36E+01
1.13E+02,1.06E+02,6.16E+01
1.21E+02,6.10E+01,6.36E+01
1.49E+02,6.91E+01,6.42E+01
1.63E+02,9.48E+01,6.14E+01
1.08E+02,1.77E+02,6.33E+01
1.42E+02,1.32E+02,6.41E+01
1.45E+02,9.65E+01,6.40E+01
1.61E+02,7.94E+01,6.51E+01
8.18E+01,1.26E+02,6.57E+01
1.17E+02,8.36E+01,6.61E+01
1.27E+02,8.23E+01,6.69E+01
1.65E+02,1.30E+02,5.79E+01
5.10E+01,1.41E+02,5.94E+01
1.52E+02,1.19E+02,6.73E+01
6.79E+01,1.06E+02,6.86E+01
9.70E+01,1.09E+02,6.69E+01
1.26E+02,3.48E+01,6.19E+01
7.32E+01,8.57E+01,6.85E+01
1.21E+02,4.25E+01,7.03E+01
1.20E+02,1.34E+02,7.09E+01
1.35E+02,9.86E+01,7.06E+01
1.39E+02,8.22E+01,7.17E+01
8.21E+01,7.11E+01,7.07E+01
1.03E+02,1.44E+02,6.96E+01
1.17E+02,1.48E+02,7.15E+01
1.22E+02,1.48E+02,7.23E+01
7.09E+01,1.50E+02,7.20E+01
8.93E+01,1.70E+02,6.86E+01
1.38E+02,6.58E+01,7.44E+01
1.35E+02,5.36E+01,6.99E+01
5.26E+01,1.05E+02,6.93E+01
5.82E+01,7.68E+01,7.14E+01
9.67E+01,8.46E+01,7.61E+01
1.10E+02,1.28E+02,7.73E+01
1.10E+02,1.00E+02,7.43E+01
1.51E+02,1.03E+02,7.35E+01
7.21E+01,1.22E+02,7.87E+01
9.51E+01,1.61E+02,7.40E+01
1.07E+02,8.43E+01,7.74E+01
1.16E+02,1.07E+02,7.31E+01
1.46E+02,1.37E+02,7.13E+01
7.37E+01,5.81E+01,7.01E+01
1.29E+02,1.09E+02,7.53E+01
1.32E+02,1.44E+02,7.38E+01
1.09E+02,6.05E+01,7.63E+01
1.19E+02,9.56E+01,7.66E+01
1.15E+02,7.63E+01,7.79E+01
1.32E+02,1.30E+02,8.14E+01
1.12E+02,1.17E+02,7.84E+01
1.28E+02,7.44E+01,7.77E+01
1.03E+02,7.52E+01,8.25E+01
1.14E+02,5.47E+01,8.26E+01
1.01E+02,1.37E+02,8.18E+01
9.08E+01,1.51E+02,7.75E+01
1.40E+02,6.17E+01,8.23E+01
6.42E+01,8.03E+01,8.35E+01
8.34E+01,1.36E+02,8.23E+01
1.44E+02,1.30E+02,8.08E+01
7.00E+01,1.02E+02,8.42E+01
1.44E+02,8.21E+01,8.22E+01
8.28E+01,9.32E+01,8.39E+01
1.23E+02,8.80E+01,9.06E+01
8.68E+01,8.08E+01,8.84E+01
1.33E+02,1.09E+02,8.74E+01
1.03E+02,1.01E+02,8.71E+01
1.02E+02,1.43E+02,9.05E+01
1.20E+02,1.32E+02,9.20E+01
1.12E+02,9.23E+01,9.15E+01
1.23E+02,6.52E+01,9.30E+01
8.30E+01,1.15E+02,9.05E+01
1.36E+02,8.67E+01,9.41E+01
9.90E+01,1.25E+02,9.52E+01
1.21E+02,7.85E+01,9.34E+01
1.00E+02,1.07E+02,9.71E+01
1.16E+02,1.16E+02,9.87E+01
1.17E+02,9.69E+01,9.94E+01
